Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,On/off,Sum on/off ramps,Sum nominal ramps,Number on/offs
2020-01-02,92516.698921,55699.3,51266.935554,55.41371,8.874798,567581.57,253485.467601,0.0,0.0,0.0,4432.364446,,170.0,4890.091852,15.0
2020-01-03,91553.700976,59750.9,55286.21054,60.386647,10.213871,740202.06,194915.61409,0.0,0.0,0.0,4464.68946,,990.0,5103.822707,12.0
2020-01-04,85195.733459,38968.9,36658.714697,43.028815,11.517148,639598.36,341613.511962,0.0,0.0,0.0,2310.185303,,0.0,5599.258691,13.0
2020-01-05,83734.312207,57708.6,51460.754115,61.457189,10.642627,686561.07,204591.96404,0.0,0.0,0.0,6247.845885,,1190.0,4067.812168,11.0
2020-01-06,92331.857102,71766.6,63319.492531,68.578164,6.448642,454017.85,141397.227122,0.0,0.0,0.0,8447.107469,,294.0,3852.970316,11.0
2020-01-07,93175.83629,78994.1,69524.120904,74.616042,4.652952,326040.52,107502.144929,0.0,0.0,0.0,9469.979096,,162.0,2995.760625,8.0
2020-01-08,94657.457261,72630.8,62013.464547,65.513554,7.881056,578291.98,167708.695169,0.0,0.0,0.0,10617.335453,,590.0,4487.21723,25.0
2020-01-09,94060.519372,56069.3,54483.437769,57.923811,10.385694,759586.97,217296.838968,0.0,0.0,0.0,1585.862231,,994.0,5541.073518,16.0
2020-01-10,92244.455661,62070.0,56350.214758,61.087915,7.9671,528498.93,206421.886758,0.0,0.0,0.0,5719.785242,,340.0,4540.268215,4.0
2020-01-11,86069.579788,35779.2,35779.2,41.570088,12.282625,693178.55,363981.827983,0.0,0.0,0.0,0.0,,122.0,5300.214717,8.0
2020-01-12,84755.023919,60567.2,53420.146126,63.028884,8.012284,503350.82,175730.494727,0.0,0.0,0.0,7147.053874,,472.0,3172.136072,8.0
2020-01-13,94585.844278,49891.8,49891.8,52.747639,9.751975,627300.55,295098.221823,0.0,0.0,0.0,0.0,,124.0,5574.769641,5.0
2020-01-14,97518.968937,61147.8,53990.024928,55.363613,11.082197,812847.6,267876.778332,0.0,0.0,0.0,7157.775072,,1020.0,6252.757329,20.0
2020-01-15,96173.719335,31975.8,31609.176507,32.866751,15.837415,1069530.28,453612.793962,0.0,0.0,0.0,366.623493,,570.0,7390.5147,7.0
2020-01-16,94571.424833,42829.4,41344.160877,43.717392,11.908991,746164.78,380085.444474,0.0,0.0,0.0,1485.239123,,194.0,6254.93858,18.0
2020-01-17,95360.265693,74064.7,64777.005914,67.928718,5.959152,418067.25,150199.056926,0.0,0.0,0.0,9287.694086,,62.0,3539.875976,2.0
