Available reserves,Date,Hour,Load shedding,Over generation,Reserve Price DA,Reserve Price RT,Reserve shortfall
530.403132,2020-01-02,1,0.0,0.0,,0.0,0
635.57753,2020-01-02,2,0.0,0.0,,0.0,0
789.766965,2020-01-02,3,0.0,0.0,,0.0,0
771.03579,2020-01-02,4,0.0,0.0,,0.0,0
731.529714,2020-01-02,5,0.0,0.0,,0.0,0
627.104367,2020-01-02,6,0.0,0.0,,0.0,0
406.370372,2020-01-02,7,0.0,0.0,,0.0,0
215.802298,2020-01-02,8,0.0,0.0,,0.0,0
1108.10313,2020-01-02,9,0.0,0.0,,0.0,0
1207.15625,2020-01-02,10,0.0,0.0,,0.0,0
1207.15625,2020-01-02,11,0.0,0.0,,0.0,0
1207.15625,2020-01-02,12,0.0,0.0,,0.0,0
1207.15625,2020-01-02,13,0.0,0.0,,0.0,0
1207.15625,2020-01-02,14,0.0,0.0,,0.0,0
1207.15625,2020-01-02,15,0.0,0.0,,0.0,0
1207.15625,2020-01-02,16,0.0,0.0,,0.0,0
944.708979,2020-01-02,17,0.0,0.0,,0.0,0
327.244727,2020-01-02,18,0.0,0.0,,0.0,0
0.0,2020-01-02,19,0.0,0.0,,0.0,0
24.995175,2020-01-02,20,0.0,0.0,,0.0,0
119.371853,2020-01-02,21,0.0,0.0,,0.0,0
144.987687,2020-01-02,22,0.0,0.0,,0.0,0
242.891438,2020-01-02,23,0.0,0.0,,0.0,0
656.877463,2020-01-02,24,0.0,0.0,,0.0,0
454.11761,2020-01-03,1,0.0,0.0,,0.0,0
349.874077,2020-01-03,2,0.0,0.0,,0.0,0
661.033859,2020-01-03,3,0.0,0.0,,0.0,0
677.0,2020-01-03,4,0.0,0.0,,0.0,0
677.0,2020-01-03,5,0.0,0.0,,0.0,0
616.311751,2020-01-03,6,0.0,0.0,,0.0,0
370.833273,2020-01-03,7,0.0,0.0,,0.0,0
280.767837,2020-01-03,8,0.0,0.0,,0.0,0
677.0,2020-01-03,9,0.0,0.0,,0.0,0
677.0,2020-01-03,10,0.0,0.0,,0.0,0
677.0,2020-01-03,11,0.0,0.0,,0.0,0
677.0,2020-01-03,12,0.0,0.0,,0.0,0
677.0,2020-01-03,13,0.0,0.0,,0.0,0
677.0,2020-01-03,14,0.0,0.0,,0.0,0
677.0,2020-01-03,15,0.0,0.0,,0.0,0
677.0,2020-01-03,16,0.0,0.0,,0.0,0
301.203222,2020-01-03,17,0.0,0.0,,0.0,0
215.790854,2020-01-03,18,0.0,0.0,,0.0,0
0.0,2020-01-03,19,0.0,0.0,,0.0,0
125.428182,2020-01-03,20,0.0,0.0,,0.0,0
466.057087,2020-01-03,21,0.0,0.0,,0.0,0
1097.62089,2020-01-03,22,0.0,0.0,,0.0,0
1441.293789,2020-01-03,23,0.0,0.0,,0.0,0
1457.430181,2020-01-03,24,0.0,0.0,,0.0,0
983.323381,2020-01-04,1,0.0,0.0,,0.0,0
407.153885,2020-01-04,2,0.0,0.0,,0.0,0
313.451823,2020-01-04,3,0.0,0.0,,0.0,0
209.69657,2020-01-04,4,0.0,0.0,,0.0,0
269.736793,2020-01-04,5,0.0,0.0,,0.0,0
309.908038,2020-01-04,6,0.0,0.0,,0.0,0
194.880448,2020-01-04,7,0.0,0.0,,0.0,0
49.49412,2020-01-04,8,0.0,0.0,,0.0,0
716.613052,2020-01-04,9,0.0,0.0,,0.0,0
1068.590344,2020-01-04,10,0.0,0.0,,0.0,0
1243.238122,2020-01-04,11,0.0,0.0,,0.0,0
1339.725672,2020-01-04,12,0.0,0.0,,0.0,0
1439.15625,2020-01-04,13,0.0,0.0,,0.0,0
1439.15625,2020-01-04,14,0.0,0.0,,0.0,0
1439.15625,2020-01-04,15,0.0,0.0,,0.0,0
1439.15625,2020-01-04,16,0.0,0.0,,0.0,0
1439.15625,2020-01-04,17,0.0,0.0,,0.0,0
143.085742,2020-01-04,18,0.0,0.0,,0.0,0
39.071303,2020-01-04,19,0.0,0.0,,0.0,0
43.781061,2020-01-04,20,0.0,0.0,,0.0,0
189.688393,2020-01-04,21,0.0,0.0,,0.0,0
62.421912,2020-01-04,22,0.0,0.0,,0.0,0
28.131109,2020-01-04,23,0.0,0.0,,0.0,0
136.723845,2020-01-04,24,0.0,0.0,,0.0,0
174.10132,2020-01-05,1,0.0,0.0,,0.0,0
282.887891,2020-01-05,2,0.0,0.0,,0.0,0
375.0,2020-01-05,3,0.0,0.0,,0.0,0
362.759057,2020-01-05,4,0.0,0.0,,0.0,0
375.0,2020-01-05,5,0.0,0.0,,0.0,0
341.379857,2020-01-05,6,0.0,0.0,,0.0,0
256.324933,2020-01-05,7,0.0,0.0,,0.0,0
162.40675,2020-01-05,8,0.0,0.0,,0.0,0
375.0,2020-01-05,9,0.0,0.0,,0.0,0
375.0,2020-01-05,10,0.0,0.0,,0.0,0
375.0,2020-01-05,11,0.0,0.0,,0.0,0
375.0,2020-01-05,12,0.0,0.0,,0.0,0
375.0,2020-01-05,13,0.0,0.0,,0.0,0
375.0,2020-01-05,14,0.0,0.0,,0.0,0
375.0,2020-01-05,15,0.0,0.0,,0.0,0
375.0,2020-01-05,16,0.0,0.0,,0.0,0
229.371523,2020-01-05,17,0.0,0.0,,0.0,0
167.132976,2020-01-05,18,0.0,0.0,,0.0,0
58.77396,2020-01-05,19,0.0,0.0,,0.0,0
3.39569,2020-01-05,20,0.0,0.0,,0.0,0
193.65853,2020-01-05,21,0.0,0.0,,0.0,0
666.232115,2020-01-05,22,0.0,0.0,,0.0,0
965.385324,2020-01-05,23,0.0,0.0,,0.0,0
1166.698707,2020-01-05,24,0.0,0.0,,0.0,0
520.231952,2020-01-06,1,0.0,0.0,,0.0,0
420.794503,2020-01-06,2,0.0,0.0,,0.0,0
488.256099,2020-01-06,3,0.0,0.0,,0.0,0
527.496349,2020-01-06,4,0.0,0.0,,0.0,0
674.15625,2020-01-06,5,0.0,0.0,,0.0,0
533.098499,2020-01-06,6,0.0,0.0,,0.0,0
239.08882,2020-01-06,7,0.0,0.0,,0.0,0
0.0,2020-01-06,8,0.0,0.0,,0.0,0
683.575365,2020-01-06,9,0.0,0.0,,0.0,0
702.455885,2020-01-06,10,0.0,0.0,,0.0,0
674.15625,2020-01-06,11,0.0,0.0,,0.0,0
674.15625,2020-01-06,12,0.0,0.0,,0.0,0
674.15625,2020-01-06,13,0.0,0.0,,0.0,0
674.15625,2020-01-06,14,0.0,0.0,,0.0,0
674.15625,2020-01-06,15,0.0,0.0,,0.0,0
674.15625,2020-01-06,16,0.0,0.0,,0.0,0
674.15625,2020-01-06,17,0.0,0.0,,0.0,0
141.158583,2020-01-06,18,0.0,0.0,,0.0,0
71.91345,2020-01-06,19,0.0,0.0,,0.0,0
37.488525,2020-01-06,20,0.0,0.0,,0.0,0
66.369218,2020-01-06,21,0.0,0.0,,0.0,0
238.997266,2020-01-06,22,0.0,0.0,,0.0,0
585.430062,2020-01-06,23,0.0,0.0,,0.0,0
777.41214,2020-01-06,24,0.0,0.0,,0.0,0
567.235095,2020-01-07,1,0.0,0.0,,0.0,0
449.222417,2020-01-07,2,0.0,0.0,,0.0,0
581.15625,2020-01-07,3,0.0,0.0,,0.0,0
581.15625,2020-01-07,4,0.0,0.0,,0.0,0
581.15625,2020-01-07,5,0.0,0.0,,0.0,0
559.292361,2020-01-07,6,0.0,0.0,,0.0,0
220.088556,2020-01-07,7,0.0,0.0,,0.0,0
47.5935,2020-01-07,8,0.0,0.0,,0.0,0
618.875,2020-01-07,9,0.0,0.0,,0.0,0
581.15625,2020-01-07,10,0.0,0.0,,0.0,0
581.15625,2020-01-07,11,0.0,0.0,,0.0,0
581.15625,2020-01-07,12,0.0,0.0,,0.0,0
581.15625,2020-01-07,13,0.0,0.0,,0.0,0
581.15625,2020-01-07,14,0.0,0.0,,0.0,0
581.15625,2020-01-07,15,0.0,0.0,,0.0,0
581.15625,2020-01-07,16,0.0,0.0,,0.0,0
581.15625,2020-01-07,17,0.0,0.0,,0.0,0
243.370229,2020-01-07,18,0.0,0.0,,0.0,0
0.0,2020-01-07,19,0.0,0.0,,0.0,0
51.109142,2020-01-07,20,0.0,0.0,,0.0,0
39.177053,2020-01-07,21,0.0,0.0,,0.0,0
122.252504,2020-01-07,22,0.0,0.0,,0.0,0
212.293056,2020-01-07,23,0.0,0.0,,0.0,0
489.072605,2020-01-07,24,0.0,0.0,,0.0,0
573.334899,2020-01-08,1,0.0,0.0,,0.0,0
598.189548,2020-01-08,2,0.0,0.0,,0.0,0
1068.15625,2020-01-08,3,0.0,0.0,,0.0,0
1068.15625,2020-01-08,4,0.0,0.0,,0.0,0
922.23635,2020-01-08,5,0.0,0.0,,0.0,0
213.212938,2020-01-08,6,0.0,0.0,,0.0,0
94.850435,2020-01-08,7,0.0,0.0,,0.0,0
7.192385,2020-01-08,8,0.0,0.0,,0.0,0
884.15625,2020-01-08,9,0.0,0.0,,0.0,0
921.875,2020-01-08,10,0.0,0.0,,0.0,0
884.15625,2020-01-08,11,0.0,0.0,,0.0,0
884.15625,2020-01-08,12,0.0,0.0,,0.0,0
884.15625,2020-01-08,13,0.0,0.0,,0.0,0
884.15625,2020-01-08,14,0.0,0.0,,0.0,0
884.15625,2020-01-08,15,0.0,0.0,,0.0,0
884.15625,2020-01-08,16,0.0,0.0,,0.0,0
884.15625,2020-01-08,17,0.0,0.0,,0.0,0
511.499353,2020-01-08,18,0.0,0.0,,0.0,0
94.888837,2020-01-08,19,0.0,0.0,,0.0,0
23.852994,2020-01-08,20,0.0,0.0,,0.0,0
63.47227,2020-01-08,21,0.0,0.0,,0.0,0
204.651389,2020-01-08,22,0.0,0.0,,0.0,0
390.335525,2020-01-08,23,0.0,0.0,,0.0,0
567.880593,2020-01-08,24,0.0,0.0,,0.0,0
680.59545,2020-01-09,1,0.0,0.0,,0.0,0
791.15625,2020-01-09,2,0.0,0.0,,0.0,0
791.15625,2020-01-09,3,0.0,0.0,,0.0,0
791.15625,2020-01-09,4,0.0,0.0,,0.0,0
791.15625,2020-01-09,5,0.0,0.0,,0.0,0
674.075796,2020-01-09,6,0.0,0.0,,0.0,0
296.273427,2020-01-09,7,0.0,0.0,,0.0,0
31.978759,2020-01-09,8,0.0,0.0,,0.0,0
854.092851,2020-01-09,9,0.0,0.0,,0.0,0
