Bus,Date,Hour,LMP,LMP DA,Overgeneration,Shortfall
CopperSheet,2020-01-02,1,22.51634,,0.0,0.0
CopperSheet,2020-01-02,2,21.287742,,0.0,0.0
CopperSheet,2020-01-02,3,20.419032,,0.0,0.0
CopperSheet,2020-01-02,4,20.419032,,0.0,0.0
CopperSheet,2020-01-02,5,20.846104,,0.0,0.0
CopperSheet,2020-01-02,6,21.287742,,0.0,0.0
CopperSheet,2020-01-02,7,23.07,,0.0,0.0
CopperSheet,2020-01-02,8,25.3,,0.0,0.0
CopperSheet,2020-01-02,9,18.573548,,0.0,0.0
CopperSheet,2020-01-02,10,0.0,,0.0,0.0
CopperSheet,2020-01-02,11,0.0,,0.0,0.0
CopperSheet,2020-01-02,12,0.0,,0.0,0.0
CopperSheet,2020-01-02,13,0.0,,0.0,0.0
CopperSheet,2020-01-02,14,0.0,,0.0,0.0
CopperSheet,2020-01-02,15,0.0,,0.0,0.0
CopperSheet,2020-01-02,16,0.0,,0.0,0.0
CopperSheet,2020-01-02,17,19.034194,,0.0,0.0
CopperSheet,2020-01-02,18,23.444156,,0.0,0.0
CopperSheet,2020-01-02,19,10000.0,,0.0,0.0
CopperSheet,2020-01-02,20,36.123987,,0.0,0.0
CopperSheet,2020-01-02,21,27.274839,,0.0,0.0
CopperSheet,2020-01-02,22,27.27451,,0.0,0.0
CopperSheet,2020-01-02,23,24.617429,,0.0,0.0
CopperSheet,2020-01-02,24,20.4,,0.0,0.0
CopperSheet,2020-01-03,1,18.861,,0.0,0.0
CopperSheet,2020-01-03,2,19.689677,,0.0,0.0
CopperSheet,2020-01-03,3,14.191503,,0.0,0.0
CopperSheet,2020-01-03,4,0.0,,0.0,0.0
CopperSheet,2020-01-03,5,0.0,,0.0,0.0
CopperSheet,2020-01-03,6,16.970779,,0.0,0.0
CopperSheet,2020-01-03,7,19.689677,,0.0,0.0
CopperSheet,2020-01-03,8,20.419032,,0.0,0.0
CopperSheet,2020-01-03,9,0.0,,0.0,0.0
CopperSheet,2020-01-03,10,0.0,,0.0,0.0
CopperSheet,2020-01-03,11,0.0,,0.0,0.0
CopperSheet,2020-01-03,12,0.0,,0.0,0.0
CopperSheet,2020-01-03,13,0.0,,0.0,0.0
CopperSheet,2020-01-03,14,0.0,,0.0,0.0
CopperSheet,2020-01-03,15,0.0,,0.0,0.0
CopperSheet,2020-01-03,16,0.0,,0.0,0.0
CopperSheet,2020-01-03,17,20.419032,,0.0,0.0
CopperSheet,2020-01-03,18,24.617429,,0.0,0.0
CopperSheet,2020-01-03,19,10000.0,,0.0,0.0
CopperSheet,2020-01-03,20,33.035161,,0.0,0.0
CopperSheet,2020-01-03,21,26.324188,,0.0,0.0
CopperSheet,2020-01-03,22,22.732415,,0.0,0.0
CopperSheet,2020-01-03,23,20.419032,,0.0,0.0
CopperSheet,2020-01-03,24,19.034194,,0.0,0.0
CopperSheet,2020-01-04,1,21.116774,,0.0,0.0
CopperSheet,2020-01-04,2,25.3,,0.0,0.0
CopperSheet,2020-01-04,3,26.324188,,0.0,0.0
CopperSheet,2020-01-04,4,27.050323,,0.0,0.0
CopperSheet,2020-01-04,5,26.790747,,0.0,0.0
CopperSheet,2020-01-04,6,26.324188,,0.0,0.0
CopperSheet,2020-01-04,7,27.050323,,0.0,0.0
CopperSheet,2020-01-04,8,36.123987,,0.0,0.0
CopperSheet,2020-01-04,9,23.07,,0.0,0.0
CopperSheet,2020-01-04,10,20.4,,0.0,0.0
CopperSheet,2020-01-04,11,18.861,,0.0,0.0
CopperSheet,2020-01-04,12,18.463399,,0.0,0.0
CopperSheet,2020-01-04,13,0.0,,0.0,0.0
CopperSheet,2020-01-04,14,0.0,,0.0,0.0
CopperSheet,2020-01-04,15,0.0,,0.0,0.0
CopperSheet,2020-01-04,16,0.0,,0.0,0.0
