Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,On/off,Sum on/off ramps,Sum nominal ramps,Number on/offs
2020-01-02,92516.698921,55699.3,51266.935555,55.41371,8.883527,567756.526331,254118.041728,0.0,0.0,0.0,4432.364445,,170.0,4890.091853,15.0
2020-01-03,91553.700976,59750.9,54693.270433,59.739005,10.139093,740410.456331,187860.989543,0.0,0.0,0.0,5057.629567,,928.0,4855.822708,10.0
2020-01-04,85195.733459,38968.9,36658.714698,43.028815,11.521181,640677.596331,340877.866499,0.0,0.0,0.0,2310.185302,,0.0,5589.996473,12.0
2020-01-05,83734.312207,57708.6,51258.472866,61.215613,10.612669,689029.296331,199615.224329,0.0,0.0,0.0,6450.127134,,1160.0,4037.812169,10.0
2020-01-06,92331.857102,71766.6,63357.211283,68.619015,6.447075,454192.806331,141077.605738,0.0,0.0,0.0,8409.388717,,294.0,3852.970317,11.0
2020-01-07,93175.83629,78994.1,69575.917239,74.671632,4.647258,324789.336331,108222.793231,0.0,0.0,0.0,9418.182761,,162.0,2933.760626,9.0
2020-01-08,94657.457261,72630.8,62201.183299,65.711868,8.087842,594839.586331,170735.004196,0.0,0.0,0.0,10429.616701,,666.0,4523.217231,33.0
2020-01-09,94060.519372,56069.3,54401.43777,57.836633,10.432476,765619.726331,215664.421171,0.0,0.0,0.0,1667.86223,,1006.0,5463.073519,19.0
2020-01-10,92244.455661,62070.0,56387.933509,61.128805,7.979972,533449.686331,202658.442253,0.0,0.0,0.0,5682.066491,,340.0,4419.388945,4.0
2020-01-11,86069.579788,35779.2,35779.2,41.570088,12.293548,695088.576331,363011.904892,0.0,0.0,0.0,0.0,,122.0,5300.21472,8.0
2020-01-12,84755.023919,60567.2,53501.995714,63.125456,8.001384,503525.776331,174631.697542,0.0,0.0,0.0,7065.204286,,472.0,3172.136073,8.0
2020-01-13,94585.844278,49891.8,49891.8,52.747639,9.764224,625922.886331,297634.505034,0.0,0.0,0.0,0.0,,124.0,5520.913547,6.0
2020-01-14,97518.968937,61147.8,54089.756734,55.465883,11.292893,826708.706331,274562.574672,0.0,0.0,0.0,7058.043266,,1082.0,6252.75733,22.0
