Date , Hour , TotalCosts , FixedCosts , VariableCosts , LoadShedding , OverGeneration , ReserveShortfall , RenewablesUsed , RenewablesCurtailed , Demand , Price
2020-01-02,1,34811.9908,21498.650592,13313.340208,0.0,0.0,0,1594.5,0,3453.596868,10.079923
2020-01-02,2,31845.668496,21498.650592,10347.017905,0.0,0.0,0,1587.9,0,3304.32247,9.637579
2020-01-02,3,28801.252763,21498.650592,7302.602171,0.0,0.0,0,1676.8,0,3238.814285,8.89253
2020-01-02,4,29157.785584,21498.650592,7659.134993,0.0,0.0,0,1625.7,0,3206.44546,9.093492
2020-01-02,5,29924.733141,21498.650592,8426.082549,0.0,0.0,0,1605.7,0,3225.951536,9.27625
2020-01-02,6,32014.215614,21498.650592,10515.565022,0.0,0.0,0,1615.5,0,3340.176883,9.584587
2020-01-02,7,36659.870162,21498.650592,15161.219571,0.0,0.0,0,1644.1,0,3589.510878,10.213054
2020-01-02,8,40992.086768,21498.650592,19493.436176,0.0,0.0,0,1720.6,0,3856.578952,10.629132
2020-01-02,9,23630.004132,21498.650592,2131.35354,0.0,0.0,0,2586.9,0,3866.832072,6.110947
2020-01-02,10,21498.650592,21498.650592,0.0,0.0,0.0,0,2764.943963,393.856037,3914.199464,5.492477
2020-01-02,11,21498.650592,21498.650592,0.0,0.0,0.0,0,2811.449781,686.550219,3960.705282,5.427985
2020-01-02,12,21498.650592,21498.650592,0.0,0.0,0.0,0,2850.938897,831.461103,4000.194398,5.374401
2020-01-02,13,21498.650592,21498.650592,0.0,0.0,0.0,0,2882.891222,875.208778,4032.146723,5.331813
2020-01-02,14,21498.650592,21498.650592,0.0,0.0,0.0,0,2881.610705,824.889295,4030.866206,5.333506
2020-01-02,15,21498.650592,21498.650592,0.0,0.0,0.0,0,2900.437152,623.162848,4049.692653,5.308712
2020-01-02,16,21498.650592,21498.650592,0.0,0.0,0.0,0,2885.850327,229.649673,4035.105828,5.327903
2020-01-02,17,25907.589386,21498.650592,4408.938794,0.0,0.0,0,2586.9,0,3993.972271,6.486672
2020-01-02,18,71026.190946,54096.450592,16929.740355,0.0,0.0,0,1919.4,0,4113.936523,17.264776
2020-01-02,19,57413.24168,26049.770592,31363.471089,0.0,0.0,0,1800.1,0,4541.270659,12.64255
2020-01-02,20,56630.585374,26049.770592,30580.814782,0.0,0.0,0,1799.9,0,4519.404825,12.530541
2020-01-02,21,53553.100255,26049.770592,27503.329663,0.0,0.0,0,1771.0,0,4396.128147,12.181879
2020-01-02,22,50457.103629,26049.770592,24407.333037,0.0,0.0,0,1725.2,0,4230.415438,11.927222
2020-01-02,23,40845.757393,25226.010592,15619.746801,0.0,0.0,0,1868.7,0,3961.808562,10.309877
2020-01-02,24,28146.621,20670.650592,7475.970408,0.0,0.0,0,2127.5,0,3654.622537,7.701649
2020-01-03,1,24981.678333,20670.650592,4311.027741,0.0,0.0,0,2050.0,0,3408.88239,7.328407
2020-01-03,2,19528.097064,13255.970592,6272.126473,0.0,0.0,0,2099.0,0,3268.125923,5.97532
2020-01-03,3,13962.488008,13255.970592,706.517416,0.0,0.0,0,2333.5,0,3191.466141,4.374945
2020-01-03,4,13255.970592,13255.970592,0.0,0.0,0.0,0,2354.557141,186.242859,3165.812642,4.187225
2020-01-03,5,13255.970592,13255.970592,0.0,0.0,0.0,0,2372.332162,161.267838,3183.587663,4.163847
2020-01-03,6,14700.771526,13255.970592,1444.800934,0.0,0.0,0,2380.6,0,3283.288249,4.477454
2020-01-03,7,19130.183274,13255.970592,5874.212682,0.0,0.0,0,2384.0,0,3532.166727,5.415991
2020-01-03,8,20857.985886,13255.970592,7602.015295,0.0,0.0,0,2562.0,0,3800.232163,5.488608
2020-01-03,9,13616.022743,13255.970592,360.052152,0.0,0.0,0,2999.832642,358.067358,3831.668974,3.553549
2020-01-03,10,13255.970592,13255.970592,0.0,0.0,0.0,0,3113.756926,598.843074,3925.012427,3.377307
2020-01-03,11,13255.970592,13255.970592,0.0,0.0,0.0,0,3166.820218,680.279782,3978.075719,3.332257
2020-01-03,12,13255.970592,13255.970592,0.0,0.0,0.0,0,3228.780386,632.019614,4040.035887,3.281152
2020-01-03,13,13255.970592,13255.970592,0.0,0.0,0.0,0,3264.846165,796.553835,4076.101666,3.25212
2020-01-03,14,13255.970592,13255.970592,0.0,0.0,0.0,0,3264.387491,516.212509,4075.642992,3.252486
2020-01-03,15,13255.970592,13255.970592,0.0,0.0,0.0,0,3270.384254,493.115746,4081.639755,3.247707
2020-01-03,16,13255.970592,13255.970592,0.0,0.0,0.0,0,3258.046064,71.253936,4069.301565,3.257554
2020-01-03,17,82936.259804,78920.750592,4015.509212,0.0,0.0,0,2638.6,0,4026.396778,20.598134
2020-01-03,18,223247.377258,209819.820592,13427.556666,0.0,0.0,0,1476.9,0,3976.312271,56.144327
2020-01-03,19,84975.705263,39802.460592,45173.244672,0.0,0.0,0,722.5,0,4451.799923,19.087943
2020-01-03,20,80845.419429,39802.460592,41042.958837,0.0,0.0,0,759.2,0,4370.271818,18.498945
2020-01-03,21,70877.145409,39802.460592,31074.684817,0.0,0.0,0,956.4,0,4226.842913,16.768341
2020-01-03,22,55938.537696,39802.460592,16136.077104,0.0,0.0,0,1432.4,0,4071.27911,13.739794
2020-01-03,23,48554.735674,39067.360592,9487.375082,0.0,0.0,0,1584.5,0,3879.706211,12.515055
2020-01-03,24,43962.441849,39067.360592,4895.081257,0.0,0.0,0,1583.7,0,3640.051069,12.077424
2020-01-04,1,44769.621265,34271.740592,10497.880673,0.0,0.0,0,1249.5,0,3424.957869,13.071583
2020-01-04,2,53684.130059,34271.740592,19412.389468,0.0,0.0,0,690.8,0,3272.427365,16.404988
2020-01-04,3,56729.519082,34271.740592,22457.77849,0.0,0.0,0,482.5,0,3195.548177,17.752672
2020-01-04,4,59233.305526,34271.740592,24961.564935,0.0,0.0,0,342.0,0,3158.80343,18.751818
2020-01-04,5,57767.01964,34271.740592,23495.279048,0.0,0.0,0,386.9,0,3143.663207,18.375702
2020-01-04,6,56813.357024,34271.740592,22541.616432,0.0,0.0,0,479.9,0,3196.491962,17.773659
2020-01-04,7,59598.040347,34271.740592,25326.299755,0.0,0.0,0,478.6,0,3310.219552,18.004256
2020-01-04,8,63754.678854,34271.740592,29482.938262,0.0,0.0,0,456.2,0,3433.20588,18.570013
2020-01-04,9,44591.569601,29495.940592,15095.629009,0.0,0.0,0,1240.4,0,3457.286948,12.89785
2020-01-04,10,35475.117123,27760.870592,7714.246532,0.0,0.0,0,1743.9,0,3546.809656,10.001979
2020-01-04,11,31482.996638,27760.870592,3722.126047,0.0,0.0,0,2032.4,0,3622.943128,8.689895
2020-01-04,12,29789.417576,27760.870592,2028.546984,0.0,0.0,0,2154.3,0,3648.355578,8.165163
