Available reserves,Date,Hour,Load shedding,Over generation,Reserve Price DA,Reserve Price RT,Reserve shortfall
530.403131,2020-01-02,1,0.0,0.0,,0.0,0
635.57753,2020-01-02,2,0.0,0.0,,0.0,0
771.458382,2020-01-02,3,0.0,0.0,,0.0,0
752.727206,2020-01-02,4,0.0,0.0,,0.0,0
713.221131,2020-01-02,5,0.0,0.0,,0.0,0
608.795784,2020-01-02,6,0.0,0.0,,0.0,0
388.061789,2020-01-02,7,0.0,0.0,,0.0,0
197.493715,2020-01-02,8,0.0,0.0,,0.0,0
1074.494547,2020-01-02,9,0.0,0.0,,0.0,0
1188.847667,2020-01-02,10,0.0,0.0,,0.0,0
1188.847667,2020-01-02,11,0.0,0.0,,0.0,0
1188.847667,2020-01-02,12,0.0,0.0,,0.0,0
1188.847667,2020-01-02,13,0.0,0.0,,0.0,0
1188.847667,2020-01-02,14,0.0,0.0,,0.0,0
1188.847667,2020-01-02,15,0.0,0.0,,0.0,0
1188.847667,2020-01-02,16,0.0,0.0,,0.0,0
926.400396,2020-01-02,17,0.0,0.0,,0.0,0
308.936144,2020-01-02,18,0.0,0.0,,0.0,0
0.0,2020-01-02,19,0.0,0.0,,0.0,0
24.995174,2020-01-02,20,0.0,0.0,,0.0,0
119.371852,2020-01-02,21,0.0,0.0,,0.0,0
135.833395,2020-01-02,22,0.0,0.0,,0.0,0
242.891438,2020-01-02,23,0.0,0.0,,0.0,0
656.877463,2020-01-02,24,0.0,0.0,,0.0,0
454.11761,2020-01-03,1,0.0,0.0,,0.0,0
349.874077,2020-01-03,2,0.0,0.0,,0.0,0
661.033859,2020-01-03,3,0.0,0.0,,0.0,0
677.0,2020-01-03,4,0.0,0.0,,0.0,0
677.0,2020-01-03,5,0.0,0.0,,0.0,0
616.311751,2020-01-03,6,0.0,0.0,,0.0,0
370.833273,2020-01-03,7,0.0,0.0,,0.0,0
280.767837,2020-01-03,8,0.0,0.0,,0.0,0
677.0,2020-01-03,9,0.0,0.0,,0.0,0
677.0,2020-01-03,10,0.0,0.0,,0.0,0
677.0,2020-01-03,11,0.0,0.0,,0.0,0
677.0,2020-01-03,12,0.0,0.0,,0.0,0
677.0,2020-01-03,13,0.0,0.0,,0.0,0
677.0,2020-01-03,14,0.0,0.0,,0.0,0
677.0,2020-01-03,15,0.0,0.0,,0.0,0
677.0,2020-01-03,16,0.0,0.0,,0.0,0
375.252055,2020-01-03,17,0.0,0.0,,0.0,0
254.060396,2020-01-03,18,0.0,0.0,,0.0,0
0.0,2020-01-03,19,0.0,0.0,,0.0,0
125.428181,2020-01-03,20,0.0,0.0,,0.0,0
466.057086,2020-01-03,21,0.0,0.0,,0.0,0
1097.620889,2020-01-03,22,0.0,0.0,,0.0,0
1441.293788,2020-01-03,23,0.0,0.0,,0.0,0
1439.121598,2020-01-03,24,0.0,0.0,,0.0,0
965.014798,2020-01-04,1,0.0,0.0,,0.0,0
388.845301,2020-01-04,2,0.0,0.0,,0.0,0
303.026855,2020-01-04,3,0.0,0.0,,0.0,0
209.696569,2020-01-04,4,0.0,0.0,,0.0,0
269.736792,2020-01-04,5,0.0,0.0,,0.0,0
309.908037,2020-01-04,6,0.0,0.0,,0.0,0
194.880447,2020-01-04,7,0.0,0.0,,0.0,0
49.494119,2020-01-04,8,0.0,0.0,,0.0,0
716.613051,2020-01-04,9,0.0,0.0,,0.0,0
1068.590343,2020-01-04,10,0.0,0.0,,0.0,0
1224.929539,2020-01-04,11,0.0,0.0,,0.0,0
1321.417089,2020-01-04,12,0.0,0.0,,0.0,0
1420.847667,2020-01-04,13,0.0,0.0,,0.0,0
1420.847667,2020-01-04,14,0.0,0.0,,0.0,0
1420.847667,2020-01-04,15,0.0,0.0,,0.0,0
1420.847667,2020-01-04,16,0.0,0.0,,0.0,0
1420.847667,2020-01-04,17,0.0,0.0,,0.0,0
124.777159,2020-01-04,18,0.0,0.0,,0.0,0
39.071302,2020-01-04,19,0.0,0.0,,0.0,0
34.626769,2020-01-04,20,0.0,0.0,,0.0,0
96.688393,2020-01-04,21,0.0,0.0,,0.0,0
46.421912,2020-01-04,22,0.0,0.0,,0.0,0
58.131109,2020-01-04,23,0.0,0.0,,0.0,0
136.723845,2020-01-04,24,0.0,0.0,,0.0,0
174.10132,2020-01-05,1,0.0,0.0,,0.0,0
282.887891,2020-01-05,2,0.0,0.0,,0.0,0
375.0,2020-01-05,3,0.0,0.0,,0.0,0
362.759057,2020-01-05,4,0.0,0.0,,0.0,0
375.0,2020-01-05,5,0.0,0.0,,0.0,0
341.379857,2020-01-05,6,0.0,0.0,,0.0,0
256.324933,2020-01-05,7,0.0,0.0,,0.0,0
162.40675,2020-01-05,8,0.0,0.0,,0.0,0
375.0,2020-01-05,9,0.0,0.0,,0.0,0
375.0,2020-01-05,10,0.0,0.0,,0.0,0
375.0,2020-01-05,11,0.0,0.0,,0.0,0
375.0,2020-01-05,12,0.0,0.0,,0.0,0
375.0,2020-01-05,13,0.0,0.0,,0.0,0
375.0,2020-01-05,14,0.0,0.0,,0.0,0
375.0,2020-01-05,15,0.0,0.0,,0.0,0
375.0,2020-01-05,16,0.0,0.0,,0.0,0
227.371523,2020-01-05,17,0.0,0.0,,0.0,0
142.929851,2020-01-05,18,0.0,0.0,,0.0,0
33.27396,2020-01-05,19,0.0,0.0,,0.0,0
1.89569,2020-01-05,20,0.0,0.0,,0.0,0
168.15853,2020-01-05,21,0.0,0.0,,0.0,0
640.732115,2020-01-05,22,0.0,0.0,,0.0,0
939.885324,2020-01-05,23,0.0,0.0,,0.0,0
1234.198707,2020-01-05,24,0.0,0.0,,0.0,0
687.450702,2020-01-06,1,0.0,0.0,,0.0,0
588.013253,2020-01-06,2,0.0,0.0,,0.0,0
655.474849,2020-01-06,3,0.0,0.0,,0.0,0
694.715099,2020-01-06,4,0.0,0.0,,0.0,0
746.0,2020-01-06,5,0.0,0.0,,0.0,0
700.317249,2020-01-06,6,0.0,0.0,,0.0,0
406.30757,2020-01-06,7,0.0,0.0,,0.0,0
138.919115,2020-01-06,8,0.0,0.0,,0.0,0
746.0,2020-01-06,9,0.0,0.0,,0.0,0
746.0,2020-01-06,10,0.0,0.0,,0.0,0
746.0,2020-01-06,11,0.0,0.0,,0.0,0
746.0,2020-01-06,12,0.0,0.0,,0.0,0
746.0,2020-01-06,13,0.0,0.0,,0.0,0
746.0,2020-01-06,14,0.0,0.0,,0.0,0
