Available reserves,Date,Hour,Load shedding,Over generation,Reserve Price DA,Reserve Price RT,Reserve shortfall
445.903132,2020-01-02,1,0.0,0.0,,0.0,0
643.57753,2020-01-02,2,0.0,0.0,,0.0,0
797.985715,2020-01-02,3,0.0,0.0,,0.0,0
779.25454,2020-01-02,4,0.0,0.0,,0.0,0
739.748464,2020-01-02,5,0.0,0.0,,0.0,0
635.323117,2020-01-02,6,0.0,0.0,,0.0,0
414.589122,2020-01-02,7,0.0,0.0,,0.0,0
224.021048,2020-01-02,8,0.0,0.0,,0.0,0
1080.067928,2020-01-02,9,0.0,0.0,,0.0,0
1212.0,2020-01-02,10,0.0,0.0,,0.0,0
1107.0,2020-01-02,11,0.0,0.0,,0.0,0
1107.0,2020-01-02,12,0.0,0.0,,0.0,0
1107.0,2020-01-02,13,0.0,0.0,,0.0,0
1107.0,2020-01-02,14,0.0,0.0,,0.0,0
1107.0,2020-01-02,15,0.0,0.0,,0.0,0
1107.0,2020-01-02,16,0.0,0.0,,0.0,0
847.927729,2020-01-02,17,0.0,0.0,,0.0,0
343.463477,2020-01-02,18,0.0,0.0,,0.0,0
1.829341,2020-01-02,19,0.0,0.0,,0.0,0
3.495175,2020-01-02,20,0.0,0.0,,0.0,0
89.871853,2020-01-02,21,0.0,0.0,,0.0,0
209.784562,2020-01-02,22,0.0,0.0,,0.0,0
343.891438,2020-01-02,23,0.0,0.0,,0.0,0
493.877463,2020-01-02,24,0.0,0.0,,0.0,0
230.11761,2020-01-03,1,0.0,0.0,,0.0,0
187.874077,2020-01-03,2,0.0,0.0,,0.0,0
499.033859,2020-01-03,3,0.0,0.0,,0.0,0
609.0,2020-01-03,4,0.0,0.0,,0.0,0
504.0,2020-01-03,5,0.0,0.0,,0.0,0
349.311751,2020-01-03,6,0.0,0.0,,0.0,0
208.833273,2020-01-03,7,0.0,0.0,,0.0,0
118.767837,2020-01-03,8,0.0,0.0,,0.0,0
504.0,2020-01-03,9,0.0,0.0,,0.0,0
609.0,2020-01-03,10,0.0,0.0,,0.0,0
504.0,2020-01-03,11,0.0,0.0,,0.0,0
504.0,2020-01-03,12,0.0,0.0,,0.0,0
504.0,2020-01-03,13,0.0,0.0,,0.0,0
504.0,2020-01-03,14,0.0,0.0,,0.0,0
504.0,2020-01-03,15,0.0,0.0,,0.0,0
504.0,2020-01-03,16,0.0,0.0,,0.0,0
266.203222,2020-01-03,17,0.0,0.0,,0.0,0
372.587729,2020-01-03,18,0.0,0.0,,0.0,0
1.700077,2020-01-03,19,0.0,0.0,,0.0,0
95.928182,2020-01-03,20,0.0,0.0,,0.0,0
