Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,On/off,Sum on/off ramps,Sum nominal ramps,Number on/offs
2020-01-02,92516.698921,55699.3,50893.310554,55.009864,9.098532,600790.32,240975.819985,0.0,0.0,0.0,4805.989446,,170.0,4825.341852,15.0
2020-01-03,91553.700976,59750.9,54970.17929,60.041461,10.278865,761500.56,179567.615445,0.0,0.0,0.0,4780.72071,,1036.0,4916.322707,11.0
2020-01-04,85195.733459,38968.9,36791.839697,43.185073,11.937882,673365.78,343690.821564,0.0,0.0,0.0,2177.060303,,76.0,5438.664867,23.0
2020-01-05,83734.312207,57708.6,50948.617714,60.845568,10.661644,701021.91,191723.551435,0.0,0.0,0.0,6759.982286,,1176.0,3897.351867,9.0
2020-01-06,92331.857102,71766.6,62523.461281,67.716023,6.591565,473041.54,135569.866479,0.0,0.0,0.0,9243.138719,,256.0,3593.470316,16.0
2020-01-07,93175.83629,78994.1,69151.417237,74.216041,4.891199,351672.9,104068.669154,0.0,0.0,0.0,9842.682763,,186.0,2584.235269,10.0
2020-01-08,94657.457261,72630.8,61766.058297,65.252184,8.144973,608897.39,162085.052922,0.0,0.0,0.0,10864.741703,,638.0,4353.71723,33.0
2020-01-09,94060.519372,56069.3,54173.812769,57.594635,10.614618,790086.36,208330.086106,0.0,0.0,0.0,1895.487231,,972.0,5369.573518,16.0
2020-01-10,92244.455661,62070.0,55471.710096,60.135549,8.207024,568195.8,188856.630905,0.0,0.0,0.0,6598.289904,,232.0,4334.192121,4.0
2020-01-11,86069.579788,35779.2,35779.2,41.570088,12.162483,682044.51,364775.277028,0.0,0.0,0.0,0.0,,170.0,5283.056359,4.0
2020-01-12,84755.023919,60567.2,53100.672283,62.651947,8.260562,530886.32,169237.802475,0.0,0.0,0.0,7466.527717,,480.0,2970.126258,11.0
2020-01-13,94585.844278,49891.8,49891.8,52.747639,9.824766,653026.94,276256.819878,0.0,0.0,0.0,0.0,,170.0,5515.448929,4.0
2020-01-14,97518.968937,61147.8,53400.746436,54.759343,11.393362,848793.27,262275.641741,0.0,0.0,0.0,7747.053564,,1050.0,6161.966123,8.0
2020-01-15,96173.719335,31975.8,31536.489007,32.791171,15.977927,1099723.99,436932.704449,0.0,0.0,0.0,439.310993,,572.0,7161.944174,6.0
2020-01-16,94571.424833,42829.4,41022.608669,43.377382,12.091816,775243.15,368297.099145,0.0,0.0,0.0,1806.791331,,178.0,6345.74869,14.0
2020-01-17,95360.265693,74064.7,64834.796931,67.989321,6.555357,487847.81,137272.761168,0.0,0.0,0.0,9229.903069,,326.0,3401.134128,20.0
2020-01-18,90405.378419,39365.5,38707.652655,42.815652,13.924005,857758.69,401046.288687,0.0,0.0,0.0,657.847345,,864.0,5083.865008,9.0
2020-01-19,88194.348015,29909.6,27835.443102,31.561482,15.245365,874477.94,470077.06571,0.0,0.0,0.0,2074.156898,,216.0,5269.872096,19.0
2020-01-20,93982.898545,40585.4,39178.236104,41.686559,13.923329,893855.27,414699.555814,0.0,0.0,0.0,1407.163896,,816.0,6271.891978,11.0
2020-01-21,93268.953449,41444.7,38950.801026,41.761808,12.126621,735831.16,395206.076195,0.0,0.0,0.0,2493.898974,,30.0,4841.572633,6.0
2020-01-22,92133.348086,48364.5,46288.21674,50.240459,10.745953,715586.02,274474.564867,0.0,0.0,0.0,2076.28326,,442.0,5842.622341,28.0
2020-01-23,93371.383648,68812.8,59564.750261,63.793368,8.434431,617549.97,169984.543975,0.0,0.0,0.0,9248.049739,,656.0,4718.516812,12.0
2020-01-24,92478.299678,71308.9,59470.412559,64.307424,7.370209,544239.66,137344.770679,0.0,0.0,0.0,11838.487441,,288.0,4009.886025,20.0
2020-01-25,87842.412729,73903.2,58032.547353,66.064382,6.092154,384380.9,150768.608124,0.0,0.0,0.0,15870.652647,,24.0,2910.222057,11.0
2020-01-26,85498.434815,67986.2,60914.01207,71.245763,6.932471,509685.76,83029.668682,0.0,0.0,0.0,7072.18793,,784.0,3616.646758,28.0
2020-01-27,92788.108305,80834.7,68459.255842,73.780204,5.964237,464177.71,89232.526643,0.0,0.0,0.0,12375.444158,,472.0,2955.77864,27.0
2020-01-28,90381.329912,67395.6,62186.65237,68.804755,7.769598,581739.64,120486.940916,0.0,0.0,0.0,5208.94763,,754.0,4544.203206,25.0
2020-01-29,91494.663614,81720.0,68362.755496,74.717752,5.180932,380491.84,93535.807978,0.0,0.0,0.0,13357.244504,,238.0,2154.749907,12.0
2020-01-30,91811.113722,70329.8,61772.407917,67.282059,7.685486,575669.64,129943.390556,0.0,0.0,0.0,8557.392083,,698.0,4243.693682,23.0
2020-01-31,90679.657624,45653.8,44865.926101,49.477388,11.788019,826028.38,242905.16638,0.0,0.0,0.0,787.873898,,578.0,5802.694493,18.0
2020-02-01,83651.648528,73661.9,60618.176062,72.465011,5.867872,398143.11,92714.01967,0.0,0.0,0.0,13043.723938,,378.0,2529.287659,14.0
2020-02-02,81339.434907,51452.3,45700.840928,56.185344,11.594776,700866.38,242246.110554,0.0,0.0,0.0,5751.459072,,1024.0,3165.793785,17.0
2020-02-03,90249.594427,37517.2,36804.121335,40.780373,14.231082,915661.42,368687.961273,0.0,0.0,0.0,713.078665,,836.0,5857.163055,12.0
2020-02-04,91052.363245,26600.7,25889.618649,28.433769,15.835374,982450.1,459398.151783,0.0,0.0,0.0,711.081351,,68.0,5806.375091,14.0
2020-02-05,91249.401148,40095.8,38142.822152,41.800627,13.610755,846533.96,395439.251182,0.0,0.0,0.0,1952.977848,,850.0,5442.21816,6.0
2020-02-06,90653.364613,36533.6,35426.822848,39.079435,13.788878,861513.36,388494.867043,0.0,0.0,0.0,1106.777152,,510.0,5672.384493,8.0
2020-02-07,89021.855989,56665.1,50891.770404,57.167726,8.601294,549783.41,215919.750176,0.0,0.0,0.0,5773.329596,,170.0,3979.128297,6.0
2020-02-08,83573.799049,30553.2,29760.568382,35.609926,14.644226,787365.3,436508.292828,0.0,0.0,0.0,792.631618,,478.0,3780.486434,9.0
2020-02-09,82287.799412,26874.7,25918.285164,31.497118,15.353087,804877.36,458494.37657,0.0,0.0,0.0,956.414836,,510.0,4096.902741,6.0
2020-02-10,90322.881609,45982.0,44018.313838,48.734399,10.272758,612204.21,315660.856979,0.0,0.0,0.0,1963.686162,,8.0,4393.104358,10.0
